username,profile_url,follower_count,found_in_query
earth.ae.e,https://www.tiktok.com/@earth.ae.e,196K,Minnesota choreographer
saintpaul.1,https://www.tiktok.com/@saintpaul.1,195.7K,Saint Paul
fashion__models,https://www.tiktok.com/@fashion__models,194.7K,Minnesota fashion model
mita.education.official,https://www.tiktok.com/@mita.education.official,193.3K,Minnesota education
maransengpan311,https://www.tiktok.com/@maransengpan311,185K,MSP
minnesotanosdecorazon,https://www.tiktok.com/@minnesotanosdecorazon,178.9K,Minnesotan
moegymtrainer,https://www.tiktok.com/@moegymtrainer,177.1K,Minnesota gym trainer
riley,https://www.tiktok.com/@riley,174.6K,Minnesota shelter dog
shelterdogs,https://www.tiktok.com/@shelterdogs,174.6K,Minnesota shelter dog
yogasini,https://www.tiktok.com/@yogasini,174.2K,Minnesota yoga instructor
millennial.mia,https://www.tiktok.com/@millennial.mia,167.8K,Minnesota millennial
tubesockfullofbakedbeans,https://www.tiktok.com/@tubesockfullofbakedbeans,166.2K,Winona
hipolitochamplin16,https://www.tiktok.com/@hipolitochamplin16,164.6K,Champlin
uofmdanceteam,https://www.tiktok.com/@uofmdanceteam,162.9K,Minnesota dance team
tc,https://www.tiktok.com/@tc,159.7K,TC
mariela_16hdz,https://www.tiktok.com/@mariela_16hdz,159.3K,Minne
iamleslatimer,https://www.tiktok.com/@iamleslatimer,158.7K,Minnesota entrepreneur local
laciemayagain,https://www.tiktok.com/@laciemayagain,157K,Minnesota kayaking
fitnesstrainer57,https://www.tiktok.com/@fitnesstrainer57,156.1K,Minnesota fitness trainer
amybizalwellness,https://www.tiktok.com/@amybizalwellness,154.4K,Minnesota yoga instructor
wcconews,https://www.tiktok.com/@wcconews,151.6K,Minnesota business
powerlifting,https://www.tiktok.com/@powerlifting,148.8K,Minnesota powerlifting
powerliftingnorthamerica,https://www.tiktok.com/@powerliftingnorthamerica,148.8K,Minnesota powerlifting
msp_ke,https://www.tiktok.com/@msp_ke,147.9K,MSP
riri,https://www.tiktok.com/@riri,145.8K,MPLS
yanggsantos,https://www.tiktok.com/@yanggsantos,145.8K,MPLS
generationzlife,https://www.tiktok.com/@generationzlife,144K,Minnesota gen z
car.guy030,https://www.tiktok.com/@car.guy030,141.3K,Minnesota car guy
meghan_moore_,https://www.tiktok.com/@meghan_moore_,141.1K,Minnesota influencer local
migardener,https://www.tiktok.com/@migardener,139.8K,Minnesota gardener
mi.gardener,https://www.tiktok.com/@mi.gardener,139.8K,Minnesota gardener
abbyylations,https://www.tiktok.com/@abbyylations,135.7K,Champlin
espacio.msp,https://www.tiktok.com/@espacio.msp,135.6K,MSP
th0mascarpenter,https://www.tiktok.com/@th0mascarpenter,134K,TC
prof.personaltrainer,https://www.tiktok.com/@prof.personaltrainer,132.3K,Minnesota personal trainer
lg28010,https://www.tiktok.com/@lg28010,131.3K,Saint Paul
stpaul.clinic,https://www.tiktok.com/@stpaul.clinic,130.4K,St Paul
mspestudios,https://www.tiktok.com/@mspestudios,128.8K,MSP
saintpaulw.pa,https://www.tiktok.com/@saintpaulw.pa,128.1K,Saint Paul
calipokehouse,https://www.tiktok.com/@calipokehouse,127.4K,Shakopee
minnesotaspam,https://www.tiktok.com/@minnesotaspam,123.7K,Minnesota based
applevalley81,https://www.tiktok.com/@applevalley81,120.8K,Apple Valley
livinginmidwest,https://www.tiktok.com/@livinginmidwest,120.3K,living in Minneapolis
fishing.hacks,https://www.tiktok.com/@fishing.hacks,118.6K,Minnesota bass fishing
9stillwater8,https://www.tiktok.com/@9stillwater8,118.2K,Stillwater
redwing,https://www.tiktok.com/@redwing,116.6K,Red Wing
personal.trainer11,https://www.tiktok.com/@personal.trainer11,115.7K,Minnesota personal trainer
iubloomington,https://www.tiktok.com/@iubloomington,115K,Bloomington MN
highlightmobilegend,https://www.tiktok.com/@highlightmobilegend,114.8K,MPLS
highlightmpls,https://www.tiktok.com/@highlightmpls,114.8K,MPLS
willmarvin,https://www.tiktok.com/@willmarvin,113.8K,Willmar
fashion.runwayy,https://www.tiktok.com/@fashion.runwayy,111.7K,Minnesota fashion model
westengw.fan_,https://www.tiktok.com/@westengw.fan_,111.1K,Champlin
tc.tomerson,https://www.tiktok.com/@tc.tomerson,111K,TC
jeeplife.id,https://www.tiktok.com/@jeeplife.id,110.5K,Minnesota jeep life
