channel_name,handle,profile_url,subscriber_count,found_in_query
The Fight System,,https://www.youtube.com/results?search_query=The+Fight+System,2.09K,Minnesota martial arts
Milibo,,https://www.youtube.com/results?search_query=Milibo,2.09K,Minnesota computer science
Helen's Recipes (Vietnamese Food),,https://www.youtube.com/results?search_query=Helen's+Recipes+(Vietnamese+Food),2.08K,Minnesota Vietnamese food
$695.00,,https://www.youtube.com/results?search_query=$695.00,2.07K,Minnesota paddle board
Cori Eichelberger,,https://www.youtube.com/results?search_query=Cori+Eichelberger,2.07K,Minnesota knitting
Magpie and Molly,,https://www.youtube.com/results?search_query=Magpie+and+Molly,2.07K,Minnesota weaving
"$1,295.00",,"https://www.youtube.com/results?search_query=$1,295.00",2.07K,Minnesota paddle board
McFadden Life,,https://www.youtube.com/results?search_query=McFadden+Life,2.06K,Minnesota farm life
LJ's Family Farm,,https://www.youtube.com/results?search_query=LJ's+Family+Farm,2.06K,Minnesota farm life
Hansen's Lawn Care,,https://www.youtube.com/results?search_query=Hansen's+Lawn+Care,2.06K,Minnesota lawn care
BOSSLAWN,,https://www.youtube.com/results?search_query=BOSSLAWN,2.06K,Minnesota lawn mowing
S&S Lawn Care and Snow Removal,,https://www.youtube.com/results?search_query=S&S+Lawn+Care+and+Snow+Removal,2.06K,Minnesota lawn care
NMDesignsMN,,https://www.youtube.com/results?search_query=NMDesignsMN,2.06K,Minneapolis Northeast
T Nara,,https://www.youtube.com/results?search_query=T+Nara,2.06K,Northeast Minneapolis
Good Samaritan United Methodist Church Edina,,https://www.youtube.com/results?search_query=Good+Samaritan+United+Methodist+Church+Edina,2.05K,Edina Minnesota
Wesley United Methodist Church - Winona Minnesota,,https://www.youtube.com/results?search_query=Wesley+United+Methodist+Church+-+Winona+Minnesota,2.05K,Winona Minnesota
CrimeVista,@CrimeVista,https://www.youtube.com/results?search_query=CrimeVista,2.05K,Minnesota mystery
"Dr. Lizette Sunde, PT",,"https://www.youtube.com/results?search_query=Dr.+Lizette+Sunde,+PT",2.05K,Minnesota physical therapy
KD Fine Jewelers,,https://www.youtube.com/results?search_query=KD+Fine+Jewelers,2.05K,Minnesota jewelry store
Rebecca Dale,,https://www.youtube.com/results?search_query=Rebecca+Dale,2.05K,Minnesota ophthalmology
Wild Horses,,https://www.youtube.com/results?search_query=Wild+Horses,2.05K,Minnesota horses
